Climate ID,Latitude,Longitude,Elevation,HLY First Year,HLY Last Year,PROVINCE
1100031,49.03,-122.36,59.1,2011.0,2025.0,BC
1100032,49.03,-122.36,59.1,2016.0,2025.0,BC
1100030,49.03,-122.36,59.1,1953.0,2012.0,BC
2200105,68.22,-135.01,6.4,2014.0,2025.0,NT
2200100,68.22,-135.01,6.4,1953.0,2014.0,NT
2200101,68.22,-135.01,6.4,2014.0,2025.0,NT
7100071,60.82,-78.15,23.2,2015.0,2025.0,QC
7100072,60.82,-78.15,23.2,2018.0,2025.0,QC
7100075,60.82,-78.15,23.2,1992.0,2015.0,QC
2400300,82.52,-62.28,30.5,1953.0,2006.0,NU
2400302,82.52,-62.28,30.5,1988.0,2025.0,NU
1020270,50.58,-126.93,59.4,1954.0,1994.0,BC
2400305,82.5,-62.33,65.4,2004.0,2025.0,NU
8200091,45.85,-64.27,23.0,1994.0,2005.0,NS
2400399,73.01,-85.05,21.9,2011.0,2025.0,NU
2400400,73.03,-85.15,11.3,1953.0,1976.0,NU
2400401,73.01,-85.05,21.9,2012.0,2025.0,NU
2400404,72.99,-85.01,10.0,2000.0,2025.0,NU
8400104,47.31,-54.0,9.5,1987.0,2025.0,NL
8400102,47.3,-54.0,15.5,1976.0,1986.0,NL
8400100,47.3,-54.0,13.7,1953.0,1970.0,NL
6040325,50.29,-88.91,322.5,1953.0,2025.0,ON
6040326,50.3,-89.03,350.5,1994.0,1995.0,ON
6040327,50.29,-88.91,322.5,2015.0,2025.0,ON
2300MKF,61.1,-94.07,10.4,1984.0,2012.0,NU
2300428,61.09,-94.07,10.4,2012.0,2025.0,NU
2300427,61.09,-94.07,10.4,2006.0,2025.0,NU
2300426,61.1,-94.07,10.4,2008.0,2012.0,NU
2301153,61.1,-94.07,9.8,2004.0,2025.0,NU
6020379,48.75,-91.62,395.3,1966.0,1988.0,ON
6020LPQ,48.76,-91.63,389.3,1994.0,2025.0,ON
8400301,48.97,-56.07,102.7,1986.0,2025.0,NL
7060400,48.33,-71.0,159.1,1953.0,2025.0,QC
7040444,49.13,-68.2,21.6,2010.0,2025.0,QC
704S001,49.26,-68.15,129.5,1995.0,2025.0,QC
7040442,49.13,-68.2,21.6,2004.0,2025.0,QC
7040440,49.13,-68.2,21.6,1956.0,2005.0,QC
2300503,64.3,-96.08,18.6,2013.0,2025.0,NU
2300504,64.3,-96.08,18.6,2016.0,2025.0,NU
2300500,64.3,-96.08,18.6,1953.0,2013.0,NU
2300501,64.32,-96.0,50.8,2004.0,2025.0,NU
616I001,45.07,-77.88,330.7,1995.0,2025.0,ON
3050520,51.18,-115.57,1383.7,1953.0,1995.0,AB
3050521,51.18,-115.57,1396.9,1994.0,1997.0,AB
3050519,51.19,-115.55,1396.9,1997.0,2025.0,AB
6110552,44.38,-79.78,295.0,1994.0,2003.0,ON
6117700,44.48,-79.55,289.0,2003.0,2025.0,ON
8100506,47.63,-65.74,58.8,2016.0,2025.0,NB
8100505,47.63,-65.74,58.8,2013.0,2018.0,NB
8100503,47.63,-65.75,58.8,1994.0,2013.0,NB
2100160,62.41,-140.87,649.0,1968.0,2014.0,YT
2100159,62.41,-140.87,649.5,2014.0,2025.0,YT
2100155,62.41,-140.87,649.5,2014.0,2025.0,YT
8200558,44.82,-62.33,16.0,1994.0,2025.0,NS
1060841,52.39,-126.6,35.7,1983.0,2013.0,BC
1060845,52.39,-126.6,35.7,2013.0,2025.0,BC
1060848,52.39,-126.6,35.7,2014.0,2025.0,BC
1060844,52.39,-126.59,36.9,2015.0,2025.0,BC
5030202,52.36,-97.02,222.2,1995.0,2015.0,MB
5030204,52.36,-97.02,222.2,2015.0,2025.0,MB
5030201,52.36,-97.02,222.2,2015.0,2025.0,MB
5030203,52.36,-97.02,221.9,1985.0,2025.0,MB
6010738,53.83,-89.87,224.1,1953.0,1992.0,ON
6010740,53.82,-89.89,222.5,2012.0,2025.0,ON
6010735,53.82,-89.9,222.5,2011.0,2025.0,ON
6010739,53.82,-89.9,222.2,1994.0,2013.0,ON
1160899,52.13,-119.29,690.4,1969.0,2015.0,BC
1160898,52.12,-119.29,690.4,2015.0,2025.0,BC
1160902,52.12,-119.29,690.4,2015.0,2025.0,BC
1160H99,52.13,-119.29,682.8,1993.0,2025.0,BC
8400601,48.67,-53.11,25.6,2006.0,2025.0,NL
8400600,48.67,-53.11,25.6,1959.0,2006.0,NL
1060902,53.49,-130.64,16.2,1994.0,2001.0,BC
1060R0K,53.49,-130.64,12.5,1994.0,2025.0,BC
3050778,51.08,-115.07,1297.5,1994.0,2025.0,AB
5010481,49.91,-99.95,409.3,2012.0,2025.0,MB
5010480,49.91,-99.95,409.4,1958.0,2012.0,MB
5010490,49.9,-99.95,409.4,2012.0,2025.0,MB
6140942,43.14,-80.33,245.5,2014.0,2025.0,ON
2400565,63.34,-64.15,376.0,1960.0,2023.0,NU
8200604,44.29,-66.35,15.8,1969.0,2025.0,NS
4010879,50.37,-102.57,599.8,1965.0,2025.0,SK
401I010,50.38,-102.68,600.1,1995.0,2003.0,SK
4010880,50.25,-102.53,619.7,1953.0,1965.0,SK
6100970,44.64,-75.75,120.4,2008.0,2025.0,ON
3030QLP,50.56,-111.85,747.0,1994.0,2025.0,AB
3030838,50.58,-111.9,755.3,1966.0,1979.0,AB
2400570,67.54,-63.79,584.4,1956.0,2023.0,NU
4060981,55.85,-108.47,422.5,1968.0,1979.0,SK
4060983,55.84,-108.42,440.1,1994.0,2025.0,SK
4060988,55.84,-108.42,433.7,2014.0,2025.0,SK
4060984,55.84,-108.42,433.7,2012.0,2019.0,SK
4060982,55.83,-108.43,433.7,1979.0,2012.0,SK
1031110,50.92,-127.95,13.7,1953.0,1988.0,BC
8400798,47.62,-57.62,10.6,1966.0,1995.0,NL
8400800,47.62,-57.62,10.6,1994.0,2006.0,NL
8400801,47.62,-57.62,10.6,2006.0,2025.0,NL
6151061,43.3,-79.8,77.4,1994.0,2025.0,ON
1091169,54.23,-125.77,704.1,1969.0,1990.0,BC
1091174,54.38,-125.96,713.2,1990.0,2025.0,BC
2100179,61.37,-139.03,806.8,1994.0,2004.0,YT
2100182,61.37,-139.05,806.2,1966.0,2012.0,YT
2100180,61.37,-139.04,806.2,2012.0,2025.0,YT
2100181,61.37,-139.04,805.3,2011.0,2025.0,YT
2100184,61.37,-139.02,807.0,2013.0,2025.0,YT
2100185,61.37,-139.03,805.3,2008.0,2011.0,YT
2400595,68.75,-109.07,92.1,1955.0,1994.0,NU
3031093,51.11,-114.02,1084.1,1953.0,2012.0,AB
3031094,51.11,-114.0,1081.9,2008.0,2025.0,AB
3031092,51.12,-114.01,1099.1,2012.0,2025.0,AB
2400603,69.11,-105.14,31.1,2016.0,2025.0,NU
2400601,69.11,-105.14,31.1,2015.0,2025.0,NU
