Latitude,Longitude,Elevation,HLY First Year,HLY Last Year,PROVINCE,Climate ID
41.83,-82.47,195.3,1994.0,2016.0,ON,6137937
42.03,-82.9,191.0,2000.0,2025.0,ON,6133362
42.25,-81.9,178.0,1994.0,2023.0,ON,613KLLM
42.28,-82.96,189.6,1953.0,2025.0,ON,6139527_6139530_6139525
42.31,-82.08,196.6,2014.0,2025.0,ON,6131414
42.45,-81.88,205.7,2003.0,2025.0,ON,6137154
42.53,-80.05,175.0,1994.0,2025.0,ON,6134F10
42.85,-80.27,240.5,1962.0,1999.0,ON,6137730_6137732
42.87,-80.55,231.7,1999.0,2025.0,ON,6131983
42.87,-79.25,183.5,1994.0,2025.0,ON,613F606
42.97,-79.33,178.0,2005.0,2025.0,ON,6139449
42.99,-82.3,180.6,1967.0,2005.0,ON,6127514
43.0,-82.31,181.0,2005.0,2010.0,ON,6127518
43.0,-82.31,181.4,2009.0,2025.0,ON,6127510
43.0,-82.3,181.0,2005.0,2025.0,ON,6127519
43.03,-81.15,278.0,1953.0,2025.0,ON,6144473_6144478_6144475
43.14,-80.33,245.5,2014.0,2025.0,ON,6140942
43.17,-79.94,237.7,2011.0,2025.0,ON,6153193
43.17,-79.93,237.7,1970.0,2011.0,ON,6153194
43.19,-79.17,97.8,2012.0,2025.0,ON,6137304_6137286
43.2,-79.17,97.8,1971.0,2012.0,ON,6137287
43.25,-79.22,79.0,1993.0,2025.0,ON,6136699
43.29,-79.91,102.0,2000.0,2025.0,ON,6153301
43.3,-79.8,77.4,1994.0,2025.0,ON,6151061
43.45,-80.38,317.0,1966.0,2002.0,ON,6149387
43.46,-80.38,321.3,2002.0,2010.0,ON,6149388
43.46,-80.38,321.6,2010.0,2025.0,ON,6144239
43.55,-80.22,325.0,2006.0,2022.0,ON,6143089
43.63,-79.4,76.5,1957.0,2006.0,ON,6158666_6158665
43.63,-79.4,76.8,2006.0,2025.0,ON,6158667_6158359
43.65,-80.42,376.4,2003.0,2025.0,ON,6142286
43.67,-79.4,112.5,1953.0,2025.0,ON,6158350_6158355
43.68,-79.63,173.4,1953.0,2025.0,ON,6158731_6158733
43.75,-79.48,198.1,1956.0,1982.0,ON,6158443
43.77,-81.72,213.7,1986.0,2025.0,ON,6122847
43.77,-81.7,213.4,1969.0,1980.0,ON,6122849
43.83,-77.15,78.6,1993.0,2025.0,ON,6156559
43.83,-66.09,36.0,2012.0,2025.0,NS,8206491
43.83,-66.09,42.9,2012.0,2025.0,NS,8206495_8206496
43.83,-66.09,43.0,1953.0,2012.0,NS,8206500
43.86,-79.37,198.1,1986.0,2023.0,ON,6158409_615HMAK_6158410
43.92,-78.88,139.9,2010.0,2025.0,ON,6155875
43.93,-60.01,1.2,2017.0,2025.0,NS,8204708
43.93,-60.01,5.0,1953.0,2016.0,NS,8204700
43.93,-59.96,1.2,2014.0,2025.0,NS,8204703
43.95,-78.17,77.7,1993.0,2025.0,ON,6151684
43.98,-80.75,414.5,1962.0,2025.0,ON,6145503_6145504
43.99,-64.66,10.1,1959.0,2025.0,NS,8206240
44.12,-77.53,86.3,1953.0,2025.0,ON,6158875_6158872
44.22,-76.6,92.4,1967.0,2012.0,ON,6104146
44.22,-76.6,93.0,1994.0,2025.0,ON,6104ADF_6104142
44.23,-79.78,251.0,1990.0,2025.0,ON,611BKE0_611E001
44.23,-78.37,191.4,1969.0,2010.0,ON,6166418_6166420
44.23,-78.36,191.4,2010.0,2025.0,ON,6166415
44.23,-76.6,92.4,2012.0,2025.0,ON,6104149_6104152
44.29,-66.35,15.8,1969.0,2025.0,NS,8200604
44.35,-78.3,216.0,2005.0,2023.0,ON,6166456
44.38,-79.78,295.0,1994.0,2003.0,ON,6110552
44.48,-79.55,289.0,2003.0,2025.0,ON,6117700
44.5,-80.22,178.3,1994.0,2023.0,ON,6111792
44.59,-63.55,52.0,2004.0,2025.0,NS,8202252
44.63,-63.52,5.5,1994.0,2025.0,NS,8205093
44.63,-63.51,24.0,2008.0,2025.0,NS,8205092
44.63,-63.5,44.0,1953.0,2025.0,NS,8205090
44.64,-75.75,120.4,2008.0,2025.0,ON,6100970
44.64,-63.51,53.0,1996.0,2010.0,NS,8205091
44.66,-63.61,51.0,2004.0,2025.0,NS,8202255
44.66,-63.58,3.8,2004.0,2025.0,NS,8202240
44.74,-81.11,221.9,2014.0,2025.0,ON,6119499_6119498
44.75,-81.11,222.2,1953.0,2014.0,ON,6119500
44.82,-62.33,16.0,1994.0,2025.0,NS,8200558
44.88,-63.51,145.4,2012.0,2025.0,NS,8202249_8202251
44.88,-63.5,145.4,1961.0,2012.0,NS,8202250
44.97,-79.3,281.9,1953.0,2025.0,ON,6115529_6115525_6115524
44.98,-64.92,28.0,1953.0,2025.0,NS,8202000
45.03,-80.37,191.1,1994.0,2025.0,ON,6119M51
45.07,-77.88,330.7,1995.0,2025.0,ON,616I001
45.07,-66.45,6.0,1994.0,2025.0,NB,8104201
45.07,-64.48,48.7,1999.0,2025.0,NS,8202810
45.17,-73.68,53.0,1994.0,2025.0,QC,7027039
45.22,-67.25,26.1,1977.0,2006.0,NB,8104937
45.29,-73.35,43.8,1994.0,2025.0,QC,702LED4
45.32,-75.67,114.0,1953.0,2011.0,ON,6106000
45.32,-75.67,114.9,2011.0,2025.0,ON,6106001
45.32,-65.89,108.8,1953.0,2025.0,NB,8104900_8104901
45.33,-81.73,180.7,1994.0,2021.0,ON,61219J2
45.35,-60.98,8.2,1994.0,2025.0,NS,8202318
