Latitude,Longitude,Elevation,HLY First Year,HLY Last Year,Climate ID,File
53.03,-122.51,545.3,2009.0,2025.0,1096631,114
58.84,-122.57,380.2,2015.0,2025.0,1192948,43
66.24,-128.65,81.4,1965.0,2025.0,2201401,386
60.02,-111.96,205.1,1953.0,2025.0,2202203,314
53.57,-113.52,671.4,2004.0,2015.0,3012202,89
51.12,-114.01,1099.1,2012.0,2025.0,3031092,301
51.19,-115.55,1396.9,1997.0,2025.0,3050519,60
51.13,-106.58,595.0,1994.0,2025.0,4022359,63
59.57,-108.48,318.2,1959.0,2025.0,406QLD0,459
54.68,-101.68,303.9,1954.0,2025.0,5050919,72
