File,Cloud Cover Over Land
LANDSAT_LC08_C02_T1_LC08_041019_20221130_406QLD0_100000_1669832527918.tif,1.29
LANDSAT_LC08_C02_T1_LC08_043018_20160417_2202203_100000_1460917985910.tif,2.08
LANDSAT_LC08_C02_T1_LC08_057014_20220420_2201401_100000_1650484696668.tif,0.16
LANDSAT_LC08_C02_T1_LC08_037025_20130821_4022359_100000_1377108076134.tif,1.65
LANDSAT_LC08_C02_T1_LC08_042018_20190302_406QLD0_100000_1551551221438.tif,0.31
LANDSAT_LC08_C02_T1_LC08_041019_20140329_406QLD0_100000_1396117308114.tif,1.09
LANDSAT_LC08_C02_T1_LC08_044018_20180313_2202203_100000_1520966357467.tif,0.02
LANDSAT_LC08_C02_T1_LC08_041019_20151229_406QLD0_100000_1451413301189.tif,2.77
LANDSAT_LC08_C02_T1_LC08_058013_20190302_2201401_100000_1551557035081.tif,0.03
LANDSAT_LC08_C02_T1_LC08_044018_20170411_2202203_100000_1491935952060.tif,0.08
LANDSAT_LC08_C02_T1_LC08_041018_20220130_406QLD0_100000_1643566878519.tif,2.02
LANDSAT_LC08_C02_T1_LC08_043023_20140701_3012202_100000_1404239717611.tif,2.73
LANDSAT_LC08_C02_T1_LC08_037024_20220830_4022359_100000_1661882362050.tif,0.01
LANDSAT_LC08_C02_T1_LC08_057014_20180714_2201401_100000_1531598257519.tif,2.74
LANDSAT_LC08_C02_T1_LC08_058014_20240416_2201401_100000_1713297849114.tif,0.5
LANDSAT_LC08_C02_T1_LC08_041019_20160809_406QLD0_100000_1470766895808.tif,0.13
LANDSAT_LC08_C02_T1_LC08_058014_20220326_2201401_100000_1648325065599.tif,3.81
LANDSAT_LC08_C02_T1_LC08_044018_20220119_2202203_100000_1642617594510.tif,3.2
LANDSAT_LC08_C02_T1_LC08_041018_20140804_406QLD0_100000_1407176470397.tif,1.13
LANDSAT_LC08_C02_T1_LC08_058013_20210307_2201401_100000_1615147450308.tif,2.25
LANDSAT_LC08_C02_T1_LC08_042018_20240923_406QLD0_100000_1727116034721.tif,0.21
LANDSAT_LC08_C02_T1_LC08_058014_20150203_2201401_100000_1422993874758.tif,2.83
LANDSAT_LC08_C02_T1_LC08_058014_20140405_2201401_100000_1396728288544.tif,0.04
LANDSAT_LC08_C02_T1_LC08_042024_20200726_3031092_100000_1595788179900.tif,0.11
LANDSAT_LC08_C02_T1_LC08_041019_20231016_406QLD0_100000_1697480503465.tif,2.85
LANDSAT_LC08_C02_T1_LC08_058013_20230516_2201401_100000_1684267410288.tif,2.53
LANDSAT_LC08_C02_T1_LC08_043022_20141005_3012202_100000_1412534118739.tif,0.11
LANDSAT_LC08_C02_T1_LC08_044018_20140113_2202203_100000_1389638453732.tif,0.36
LANDSAT_LC08_C02_T1_LC08_037024_20160914_4022359_100000_1473875944008.tif,0.01
LANDSAT_LC08_C02_T1_LC08_035022_20151219_5050919_100000_1450547149269.tif,2.93
LANDSAT_LC08_C02_T1_LC08_057014_20231117_2201401_100000_1700251120805.tif,1.01
LANDSAT_LC08_C02_T1_LC08_058014_20171107_2201401_100000_1510085095330.tif,2.05
LANDSAT_LC08_C02_T1_LC08_042024_20170208_3031092_100000_1486578582432.tif,3.7
LANDSAT_LC08_C02_T1_LC08_058014_20160410_2201401_100000_1460318655437.tif,0.47
LANDSAT_LC08_C02_T1_LC08_049019_20190303_1192948_100000_1551640240682.tif,0.13
LANDSAT_LC08_C02_T1_LC08_035022_20170311_5050919_100000_1489254326429.tif,1.46
LANDSAT_LC08_C02_T1_LC08_044018_20140403_2202203_100000_1396550394243.tif,0.0
LANDSAT_LC08_C02_T1_LC08_042018_20210526_406QLD0_100000_1622053622902.tif,2.13
LANDSAT_LC08_C02_T1_LC08_057014_20151111_2201401_100000_1447271913681.tif,0.45
LANDSAT_LC08_C02_T1_LC08_044018_20210321_2202203_100000_1616351971469.tif,0.89
LANDSAT_LC08_C02_T1_LC08_041018_20150401_406QLD0_100000_1427912434175.tif,0.0
LANDSAT_LC08_C02_T1_LC08_037024_20230918_4022359_100000_1695059934435.tif,0.6
LANDSAT_LC08_C02_T1_LC08_044018_20160220_2202203_100000_1455993576064.tif,0.14
LANDSAT_LC08_C02_T1_LC08_043018_20210210_2202203_100000_1612982017705.tif,2.77
LANDSAT_LC08_C02_T1_LC08_057014_20200329_2201401_100000_1585511891000.tif,0.0
LANDSAT_LC08_C02_T1_LC08_035022_20170207_5050919_100000_1486489539573.tif,0.97
LANDSAT_LC08_C02_T1_LC08_042024_20180705_3031092_100000_1530815329916.tif,0.23
LANDSAT_LC08_C02_T1_LC08_043018_20150109_2202203_100000_1420828414929.tif,0.28
LANDSAT_LC08_C02_T1_LC08_037024_20170715_4022359_100000_1500141519816.tif,1.02
LANDSAT_LC08_C02_T1_LC08_058014_20140320_2201401_100000_1395345903695.tif,0.18
LANDSAT_LC08_C02_T1_LC08_058014_20180126_2201401_100000_1516997074934.tif,4.96
LANDSAT_LC08_C02_T1_LC08_042018_20200217_406QLD0_100000_1581964042429.tif,0.01
LANDSAT_LC08_C02_T1_LC08_058014_20230209_2201401_100000_1675973098712.tif,4.81
LANDSAT_LC08_C02_T1_LC08_043018_20160229_2202203_100000_1456770805457.tif,0.04
LANDSAT_LC08_C02_T1_LC08_041025_20150417_3031092_100000_1429295000312.tif,0.55
